date,CPI,logCPI,logCPIDiff,Federal Funds Rate,Shadow Rate (First Month of Quarter) ,Financial Stress Index,NFCI,STOCHVOL_Far West,GROWTH RATE_Far West,STOCHVOL_Southwest,GROWTH RATE_Southwest,STOCHVOL_Rocky Mountain,GROWTH RATE_Rocky Mountain,STOCHVOL_Plains,GROWTH RATE_Plains,STOCHVOL_Great Lakes,GROWTH RATE_Great Lakes,STOCHVOL_Southeast,GROWTH RATE_Southeast,STOCHVOL_Mideast,GROWTH RATE_Mideast,STOCHVOL_New England,GROWTH RATE_New England
1997.1.1 0:00,67.35100576,1.828344086,,0.0539,0.052257831,-0.329315385,-0.71989,,,,,,,,,,,,,,,,
1997.4.1 0:00,67.50570634,1.829340486,0.0009964,0.0556,0.054583318,-0.221623077,-0.67621,0.01036406,0.016643951,0.00921025,0.01533914,0.01124756,0.018715769,0.004956891,0.007919811,0.00694963,0.008963689,0.00863415,0.013029466,0.0029276,0.005741592,0.007041718,0.009968019
1997.7.1 0:00,67.84323487,1.831506548,0.002166062,0.0554,0.053474011,-0.267730769,-0.68332,0.01007545,0.016371465,0.009129888,0.015107406,0.01145901,0.018371924,0.0045881,0.007857581,0.00663597,0.008884055,0.00862138,0.012861883,0.00264404,0.005708814,0.006728579,0.009869638
1997.10.1 0:00,68.20889078,1.833840987,0.002334439,0.055,0.053791004,-0.059576923,-0.56013,0.00992014,0.016107758,0.008823386,0.014882569,0.01136186,0.018040486,0.004408783,0.00779632,0.00652124,0.008805823,0.00861846,0.012698555,0.00252343,0.005676408,0.006623098,0.00977318
1998.1.1 0:00,68.34952767,1.834735518,0.000894531,0.0549,0.053599361,-0.286030769,-0.63391,0.00980111,0.015852411,0.008551792,0.014664326,0.01109228,0.017720794,0.004263743,0.007736008,0.0064188,0.008728958,0.00846848,0.012539324,0.00258113,0.005644369,0.00647078,0.00967859
1998.4.1 0:00,68.57454669,1.836162945,0.001427428,0.0556,0.053314352,-0.226438462,-0.62438,0.00960658,0.015605033,0.008104837,0.014452391,0.01085698,0.017412235,0.004198376,0.007676622,0.00638323,0.008653422,0.00834649,0.012384037,0.00270122,0.005612688,0.006463981,0.009585813
1998.7.1 0:00,68.92613891,1.838383951,0.002221006,0.0551,0.052316232,0.2426,-0.42723,0.00960838,0.015365258,0.007538517,0.014246495,0.01053373,0.017114238,0.004161814,0.00761814,0.00641484,0.008579183,0.00818504,0.012232548,0.00302484,0.005581362,0.006466018,0.009494797
1998.10.1 0:00,69.24960376,1.840417293,0.002033342,0.0468,0.047335886,0.620638462,-0.0939,0.00976439,0.01513274,0.006741554,0.014046383,0.01009084,0.016826269,0.004095403,0.007560543,0.00660475,0.008506207,0.00799823,0.012084721,0.00383992,0.005550383,0.006674335,0.009405494
1999.1.1 0:00,69.50275015,1.84200199,0.001584697,0.0481,0.047586639,0.1534,-0.33477,0.01028806,0.017182595,0.005437527,0.011063852,0.00947003,0.015137142,0.00404026,0.007215559,0.00712595,0.009659964,0.00790688,0.012569952,0.00572808,0.010997517,0.007263784,0.010700375
1999.4.1 0:00,70.02310664,1.845241375,0.003239385,0.0476,0.047441302,0.026123077,-0.42652,0.01036932,0.016892341,0.004753008,0.010942783,0.00899137,0.014911425,0.004089912,0.007163868,0.00756498,0.009567542,0.00770725,0.01241391,0.00672617,0.010877887,0.007575428,0.01058709
