targetFeature,commonFeatures,regionVariantFeatures,targetHorizon,nDistrict,EPU,model,slidingWindow,test,threshold,targetArea,valError_RMSE,predictions,targets
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RandomForest,4,0.2,0.95,Far West,2.599755868216153,"[ 6.1475  6.085   5.96    5.9925  5.9875  6.4025  6.2225  6.2225  6.105
  5.735   5.6275  5.6125  5.665   5.595   5.5525  5.54    5.37    5.2975
  5.33    5.285   5.0775  5.0175  5.05    4.915   4.8525  4.8325  4.845
  4.85    4.8475  4.9675  4.9625  4.96    4.9675  4.945   4.9825  4.965
  4.945   4.965   4.9825  4.9225  4.9825  4.9675  5.08    4.9875  4.8875
  4.945   5.05    5.06    4.9575  4.935   5.0625  4.96    4.945   4.9575
  5.065   5.095   5.0325  5.1275  5.1275  5.13    5.1075  5.0525  6.6475
 10.8025 11.415  11.4325 11.34   11.12   10.9675 10.9275 10.09    9.
  8.895   7.75  ]","[6.1, 6.025, 5.975, 5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RF_cutoff_0.95,4,0.2,0.95,Far West,2.6171001785553787,"[ 6.0875  5.985   5.9525  5.9325  5.9     6.13    6.1575  6.14    5.7675
  5.7125  5.6325  5.3125  5.2225  5.2625  5.2875  5.26    5.24    5.22
  5.23    5.195   5.1725  5.1     4.9425  4.89    4.8525  4.8225  4.7925
  4.925   4.925   4.925   4.945   4.945   4.945   4.945   4.945   4.9825
  4.995   4.995   4.995   4.995   4.995   4.995   4.955   4.9075  4.8
  4.81    4.845   4.8425  4.8     4.8     4.8     4.8     4.8     4.8
  4.8     4.8625  4.8625  4.8     4.84    4.8475  4.8425  4.8425  6.5625
 11.44   11.4375 11.4375 11.4375 10.525  10.425  10.445   9.735   9.4375
  9.2225  7.92  ]","[6.1, 6.025, 5.975, 5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RandomForest,8,0.2,0.95,Far West,2.606544516226127,"[ 6.0225  5.9825  5.915   5.915   6.505   6.28    6.2725  5.9475  5.95
  5.8975  5.8325  5.62    5.6125  5.585   5.58    5.5775  5.6175  5.385
  5.04    5.      4.9725  5.0125  4.9575  4.86    4.8375  4.835   4.8175
  4.8425  4.8425  4.885   4.8975  5.0575  4.9775  5.0075  4.9775  4.9775
  5.0075  5.0075  4.995   5.0075  5.0075  5.0075  5.01    5.01    5.01
  5.03    5.03    4.99    4.965   5.0175  5.01    5.01    4.9825  5.0475
  5.0475  4.9875  5.0175  5.0175  5.005   5.005   5.0025  6.8375 11.4
 11.3625 11.2425 11.135  10.8575 10.64   10.7175  9.3275  8.7675  8.9825
  8.1075]","[6.025, 5.975, 5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RF_cutoff_0.95,8,0.2,0.95,Far West,2.628200641696463,"[ 6.065   5.9725  5.96    5.8775  6.19    5.9725  5.9125  5.705   5.605
  5.675   5.605   5.2375  5.275   5.3075  5.285   5.255   5.25    5.31
  5.2225  5.1425  5.1175  5.0825  4.98    4.8725  4.815   4.8225  4.8275
  4.8375  4.8375  4.8375  4.8775  4.8775  4.825   4.825   4.825   4.825
  4.845   4.845   4.845   4.885   4.885   4.885   4.835   4.74    4.7775
  4.94    4.965   4.9425  4.8925  4.965   4.9425  4.9425  4.96    4.8575
  4.8625  4.8975  4.9875  4.92    4.915   4.905   4.905   7.1025 11.51
 11.51   11.51   11.51   10.845  10.655  10.63   10.1575  8.9875  9.1975
  8.68  ]","[6.025, 5.975, 5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RandomForest,16,0.2,0.95,Far West,2.5942365868034973,"[ 5.8375  5.855   6.3675  6.1325  6.0925  5.695   5.675   5.485   5.32
  5.2925  5.3275  5.325   5.33    5.2475  5.1075  5.24    5.3175  5.07
  5.025   4.9675  4.8375  4.845   4.85    4.85    4.8475  4.8175  4.8475
  4.7725  4.76    4.7375  4.74    4.74    4.7725  4.8625  5.0325  5.215
  5.28    5.3475  5.3475  5.3475  5.3475  5.3475  5.3475  5.3075  5.3025
  5.3125  5.3475  5.3125  5.3475  5.3475  5.3475  5.3075  5.3075  5.3075
  5.4025  5.4975  5.4925  5.4925  5.4825  6.48   11.305  11.3075 11.3075
 11.3075 10.8225 10.3325 10.3925  9.54    9.1375  8.905   8.0125]","[5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RF_cutoff_0.95,16,0.2,0.95,Far West,2.68715125480446,"[ 5.9175  5.87    6.1175  6.12    6.1425  5.6     5.5175  5.5     5.2775
  5.29    5.295   5.31    5.2825  5.23    5.2725  5.2675  5.18    5.1575
  5.16    5.0375  4.905   4.78    4.79    4.7925  4.7975  4.7975  4.7975
  4.79    4.805   4.805   4.79    4.79    4.785   4.8325  4.8325  4.8325
  4.8325  4.8325  4.8325  4.7325  4.7325  4.705   4.72    4.82    4.9
  4.8675  4.915   4.895   4.8675  4.915   4.8775  4.8625  4.875   4.9025
  5.0375  5.1375  5.07    5.07    5.07    6.6225 11.505  11.505  11.505
 11.505  11.1725 10.7625 10.835  10.15   10.1425 10.025   8.9975]","[5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RandomForest,20,0.2,0.95,Far West,2.5937734387198224,"[ 5.9725  5.9475  5.91    5.7     5.6625  5.62    5.4725  5.4025  5.335
  5.3     5.2775  5.2575  5.2125  5.16    5.1375  5.0925  5.0225  5.0025
  4.985   4.9175  4.91    4.84    4.82    4.82    4.82    4.825   4.805
  4.805   4.8025  4.7675  4.755   4.755   4.805   4.86    4.9275  5.0525
  5.3025  5.35    5.355   5.385   5.51    5.5325  5.5325  5.53    5.53
  5.4775  5.48    5.4775  5.5325  5.5325  5.5325  5.53    5.53    5.4875
  5.54    5.54    5.54    5.54    5.5575  6.7025 11.0775 11.025  11.035
 11.035  10.7675 10.76   10.7875  9.6725  8.6325  8.685   8.32  ]","[5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RF_cutoff_0.95,20,0.2,0.95,Far West,2.667198905218732,"[ 5.9275  5.8875  5.9125  5.8725  5.85    5.53    5.3875  5.3875  5.2625
  5.2575  5.26    5.2675  5.2475  5.265   5.2575  5.235   5.1775  5.14
  5.145   5.065   4.925   4.86    4.855   4.87    4.87    4.8725  4.8725
  4.8675  4.9075  4.9075  4.8675  4.8675  4.89    4.9325  4.935   4.935
  4.935   4.935   4.935   4.935   4.8125  4.73    4.7425  4.8775  4.8675
  4.8625  4.7975  4.86    4.8625  4.8475  4.86    4.8075  4.8275  4.8825
  4.9275  4.9275  4.9525  4.9575  4.9575  7.0325 11.4725 11.4725 11.4725
 11.4725 11.025  10.94   10.9025  9.6725  9.1575  9.265   9.095 ]","[5.875, 5.799999999999999, 5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RandomForest,28,0.2,0.95,Far West,2.649105656440585,"[ 6.09    5.9675  6.0625  5.575   5.5025  5.45    5.3125  5.3125  5.3425
  5.3025  5.2375  5.1725  5.16    5.1175  5.0075  5.065   5.085   5.0125
  4.8325  4.8675  4.87    4.855   4.8575  4.875   4.895   4.77    4.7825
  4.775   4.775   4.8275  4.7775  4.8925  5.0225  5.0875  5.0975  5.1625
  5.18    5.16    5.15    5.155   5.3175  5.345   5.415   5.4725  5.69
  5.815   5.845   5.845   5.845   5.845   5.85    5.85    5.845   5.845
  5.845   5.845   5.845   6.2675 11.325  11.33   11.285  11.285  10.905
 10.8475 10.8475  9.515   9.3575  9.3675  9.0325]","[5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
Average Urate,"['logCPIDiff', 'NFCI', 'TMU', 'TFU', 'TRU']",['Average EPU'],3,8,,RF_cutoff_0.95,28,0.2,0.95,Far West,2.6398360078896426,"[ 5.935   5.915   5.9125  5.6325  5.53    5.5125  5.4225  5.4075  5.3925
  5.31    5.31    5.2725  5.255   5.1475  5.14    5.095   5.0875  5.005
  4.845   4.8575  4.8575  4.835   4.845   4.845   4.83    4.83    4.8575
  4.8475  4.8675  4.8675  4.925   4.9975  5.015   5.015   5.0425  5.0425
  5.05    5.05    5.045   4.9675  4.915   4.8725  5.3875  5.5175  5.605
  5.605   5.635   5.635   5.635   5.635   5.675   5.675   5.635   5.6225
  5.635   5.635   5.635   6.9475 11.3875 11.435  11.4825 11.495  11.1975
 11.08   10.975   9.655   8.7875  8.7875  8.615 ]","[5.7250000000000005, 5.675, 5.6, 5.55, 5.525, 5.5, 5.425, 5.4, 5.375, 5.35, 5.3, 5.225, 5.175, 5.075, 5.0, 4.875, 4.775, 4.675, 4.65, 4.625, 4.6, 4.575, 4.575, 4.6, 4.574999999999999, 4.5, 4.525, 4.5, 4.4, 4.375, 4.25, 4.2, 4.15, 4.1, 4.125, 4.2, 4.3, 4.3500000000000005, 4.4, 4.425, 4.325, 4.275, 4.15, 4.025, 3.925, 3.9, 3.925, 3.925, 3.9, 3.85, 3.8, 3.8, 3.85, 5.575, 18.625, 16.225, 13.625, 12.475, 10.85, 9.825, 8.875, 8.425, 8.274999999999999, 7.925, 7.675000000000001, 7.375, 7.125000000000001, 6.699999999999999, 6.475]"
